"Module"	"Gene1"	"Gene2"
"M1"	"CYFIP2"	"PRPF6"
"M1"	"CYFIP2"	"RSPO2"
"M1"	"CYFIP2"	"SEPT6"
"M1"	"CYFIP2"	"PIK3CD"
"M1"	"CYFIP2"	"IGF2BP3"
"M1"	"CYFIP2"	"ZMYM2"
"M1"	"CYFIP2"	"FGF9"
"M1"	"CYFIP2"	"PSPC1"
"M1"	"CYFIP2"	"SEC22A"
"M1"	"CYFIP2"	"NISCH"
"M1"	"CYFIP2"	"RILP"
"M1"	"CYFIP2"	"AHCY"
"M1"	"CYFIP2"	"UQCC2"
"M1"	"CYFIP2"	"AVPR1A"
"M1"	"CYFIP2"	"GTF2F1"
"M1"	"CYFIP2"	"NUP188"
"M1"	"CYFIP2"	"VPS33B"
"M1"	"CYFIP2"	"GRIN3A"
"M1"	"CYFIP2"	"SREBF2"
"M1"	"CYFIP2"	"ZNRF2"
"M1"	"CYFIP2"	"STARD9"
"M1"	"CYFIP2"	"SCMH1"
"M1"	"CYFIP2"	"HES5"
"M1"	"CYFIP2"	"GABRA4"
"M1"	"CYFIP2"	"MRPL18"
"M1"	"CYFIP2"	"LRP2BP"
"M1"	"CYFIP2"	"FTCD"
"M1"	"CYFIP2"	"FAM189B"
"M1"	"CYFIP2"	"SERPINB5"
"M1"	"CYFIP2"	"NTRK2"
"M1"	"CYFIP2"	"INPPL1"
"M1"	"CYFIP2"	"CSTF3"
"M1"	"CYFIP2"	"CSNK2A2"
"M1"	"CYFIP2"	"DFFB"
"M1"	"CYFIP2"	"KRT27"
"M1"	"CYFIP2"	"UBP1"
"M1"	"CYFIP2"	"MOGAT3"
"M1"	"CYFIP2"	"GIN1"
"M1"	"TOP2A"	"GPAT2"
"M1"	"TRDN"	"SUCLA2"
"M1"	"TRDN"	"ADRB2"
"M1"	"ZBTB46"	"RAMP1"
"M1"	"ZBTB46"	"APOLD1"
"M1"	"MORC3"	"GYG2"
"M1"	"MORC3"	"NMT2"
"M1"	"MORC3"	"MT1E"
"M1"	"AGTR1"	"POU2F3"
"M1"	"AGTR1"	"DLC1"
"M1"	"AGTR1"	"GTF3A"
"M1"	"AGTR1"	"MATK"
"M1"	"AGTR1"	"DOK2"
"M1"	"AGTR1"	"SAPCD1"
"M1"	"AGTR1"	"DUS4L"
"M1"	"AGTR1"	"TCEB3C"
"M1"	"AGTR1"	"HM13"
"M1"	"AGTR1"	"MAN2B1"
"M1"	"AGTR1"	"PIH1D2"
"M1"	"AGTR1"	"EEF1A1"
"M1"	"AGTR1"	"PCM1"
"M1"	"AGTR1"	"ZNF787"
"M1"	"AGTR1"	"HDAC9"
"M1"	"AGTR1"	"ZNF165"
"M1"	"AGTR1"	"SRP68"
"M1"	"AGTR1"	"PLEKHG2"
"M1"	"AGTR1"	"FLCN"
"M1"	"AGTR1"	"SSR1"
"M1"	"AGTR1"	"NUCB1"
"M1"	"AGTR1"	"RANBP3"
"M1"	"AGTR1"	"CDKN2D"
"M1"	"AGTR1"	"STAP1"
"M1"	"AGTR1"	"COL9A1"
"M1"	"AGTR1"	"SEPSECS"
"M1"	"TAF15"	"VLDLR"
"M1"	"TAF15"	"LIN28A"
"M1"	"SH3GL3"	"PPL"
"M1"	"SH3GL3"	"FZD4"
"M1"	"SH3GL3"	"ABCA6"
"M1"	"CGB"	"PLP1"
"M1"	"KDM6B"	"ELP5"
"M1"	"KDM6B"	"DRAP1"
"M1"	"KDM6B"	"CACNG2"
"M1"	"KDM6B"	"CTDP1"
"M1"	"KDM6B"	"TRAK1"
"M1"	"KDM6B"	"ACACB"
"M1"	"KDM6B"	"AMIGO3"
"M1"	"KDM6B"	"REV1"
"M1"	"KDM6B"	"IL18"
"M1"	"KDM6B"	"PAFAH1B2"
"M1"	"KDM6B"	"HPRT1"
"M1"	"KDM6B"	"CRIPT"
"M1"	"KDM6B"	"PRKAB2"
"M1"	"KDM6B"	"SNTG1"
"M1"	"KDM6B"	"HIC1"
"M1"	"KDM6B"	"HFE"
"M1"	"KDM6B"	"KRT17"
"M1"	"KDM6B"	"UBAP2L"
"M1"	"KDM6B"	"SLC6A4"
"M1"	"KDM6B"	"OAZ1"
"M1"	"KDM6B"	"CCND2"
"M1"	"KDM6B"	"INO80C"
"M1"	"KDM6B"	"NCAN"
"M1"	"KDM6B"	"ACTR3"
"M1"	"KDM6B"	"ASIC2"
"M1"	"KDM6B"	"SMARCA5"
"M1"	"KDM6B"	"IQGAP1"
"M1"	"KDM6B"	"PPIF"
"M1"	"KDM6B"	"UBE4A"
"M1"	"KDM6B"	"MAGI1"
"M1"	"KDM6B"	"C8B"
"M1"	"KDM6B"	"HIST1H3F"
